"Session","ID","x","y","start_date","end_date","Effort","camera_type","lure_01","habitat","terrain"
1,11,521999.0768907,4084815.68590644,"16/10/2011","26/10/2011",11,"reconyx","no","pasture","draw"
1,12,512055.806112382,4079034.35893818,"05/11/2011","15/11/2011",11,"reconyx","yes","pasture","ridge"
1,13,516182.569870906,4082585.97407493,"30/09/2011","11/10/2011",12,"reconyx","no","pasture","draw"
1,14,514915.037103913,4079997.43030114,"30/09/2011","11/10/2011",12,"reconyx","yes","pasture","cliffbase"
1,15,513359.889965331,4080405.05452828,"05/11/2011","15/11/2011",11,"reconyx","no","pasture","draw"
1,16,522722.327640804,4083234.2432507,"16/10/2011","26/10/2011",11,"reconyx","yes","pasture","valley"
1,17,525441.813568709,4081262.57648547,"16/10/2011","26/10/2011",11,"reconyx","yes","pasture","draw"
1,18,523061.415967062,4083706.30368283,"16/10/2011","26/10/2011",11,"reconyx","yes","pasture","cliffbase"
1,19,527104.177538565,4080908.65703146,"17/10/2011","27/10/2011",11,"reconyx","yes","pasture","draw"
1,20,529232.316698294,4079298.19822865,"17/10/2011","27/10/2011",11,"reconyx","no","pasture","ridge"
1,21,514541.021732127,4076231.12585698,"29/09/2011","10/10/2011",12,"reconyx","yes","scrub","draw"
1,22,513643.205112313,4078734.54226813,"29/09/2011","10/10/2011",12,"reconyx","yes","pasture","draw"
1,23,514076.622427537,4077463.66016941,"05/11/2011","15/11/2011",11,"reconyx","yes","pasture","valley"
1,24,526256.751353247,4075915.24482152,"20/10/2011","31/10/2011",12,"reconyx","yes","pasture","ridge"
1,25,526143.136698232,4075307.208767,"20/10/2011","31/10/2011",12,"reconyx","no","pasture","ridge"
1,26,529729.094136335,4076933.82486209,"17/10/2011","27/10/2011",11,"reconyx","yes","pasture","valley"
1,27,531034.551349423,4076271.17180162,"17/10/2011","27/10/2011",11,"reconyx","no","pasture","ridge"
1,28,534791.137340894,4076585.82354951,"17/10/2011","27/10/2011",11,"reconyx","yes","pasture","ridge"
1,29,532795.342574589,4075837.77514783,"17/10/2011","27/10/2011",11,"reconyx","no","pasture","ridge"
1,30,540096.193194624,4077401.93424504,"16/10/2011","26/10/2011",11,"reconyx","no","pasture","ridge"
1,31,539920.539365073,4079226.71566467,"16/10/2011","26/10/2011",11,"reconyx","yes","barren","ridge"
1,32,509516.742190239,4069873.59889341,"25/09/2011","05/10/2011",11,"reconyx","yes","scrub","ridge"
1,33,509494.365456845,4072129.07082934,"25/09/2011","05/10/2011",11,"reconyx","no","forest","cliffbase"
1,34,516133.795035374,4069145.18309721,"29/09/2011","09/10/2011",11,"reconyx","no","scrub","draw"
